"","BNTI","RC","Seasonal"
"5479",1.10881524701005,0.74,"Spring"
"5480",20.7299038164202,1,"Spring"
"5481",2.78449648245444,0.98,"Spring"
"5482",4.77309236834598,0.98,"Spring"
"5483",11.6169406131476,1,"Spring"
"5508",3.29321847261092,1,"Spring"
"5509",10.6395772699936,1,"Spring"
"5510",19.2729297157691,1,"Spring"
"5511",73.5705077558186,1,"Spring"
"5512",8.5656738942791,1,"Spring"
"5513",12.1477031683069,1,"Spring"
"5514",0.912121048083151,0.9,"Spring"
"5515",3.57662253580435,0.96,"Spring"
"5516",11.6163723225435,1,"Spring"
"5535",-0.369308856149652,-0.14,"Spring"
"5536",1.25971347585444,0.86,"Spring"
"5537",0.0870507430044177,0.36,"Spring"
"5538",1.81489032801554,0.88,"Spring"
"5539",0.735082693733766,0.58,"Spring"
"5540",3.78367619557965,0.96,"Spring"
"5541",12.726368243112,1,"Spring"
"5542",24.4102482537856,1,"Spring"
"5543",12.4293490957867,1,"Spring"
"5565",22.2033372025628,1,"Spring"
"5566",6.46166979298817,1,"Spring"
"5567",9.18290222051963,1,"Spring"
"5568",18.7847777246166,1,"Spring"
"5569",7.57653964529305,1,"Spring"
"5570",14.2261417178666,1,"Spring"
"5589",2.05579726372297,0.88,"Spring"
"5590",10.8713692580657,1,"Spring"
"5591",3.82339753176052,1,"Spring"
"5592",0.762619878633302,0.74,"Spring"
"5593",-0.364123174985611,-0.14,"Spring"
"5594",0.682729315849852,0.62,"Spring"
"5595",0.422591546494878,0.36,"Spring"
"5596",1.33424981215282,0.82,"Spring"
"5597",0.013620606277156,0.2,"Spring"
"5621",2.7999524786418,0.96,"Spring"
"5622",6.08987354834877,1,"Spring"
"5623",0.359937540043174,0.66,"Spring"
"5624",0.164193781569451,0.36,"Spring"
"5625",0.595322127366003,0.66,"Spring"
"5626",1.94803081553898,0.92,"Spring"
"5627",0.154191373387144,0.2,"Spring"
"5628",0.168140605180656,0.36,"Spring"
"5629",-0.67796898289027,-0.36,"Spring"
"5651",8.37892224187004,1,"Spring"
"5652",8.10443846139848,1,"Spring"
"5653",7.20503134216058,1,"Spring"
"5654",4.36641007356911,0.98,"Spring"
"5655",1.6903636694496,0.94,"Spring"
"5656",3.75231945079408,0.96,"Spring"
"5657",0.159457701997734,0.32,"Spring"
"5658",-1.85484175996114,-1,"Spring"
"5659",1.52977816502216,0.86,"Spring"
"5684",10.4209621291148,1,"Spring"
"5685",16.8676347751418,1,"Spring"
"5686",5.44818777650488,1,"Spring"
"5687",0.455954477485273,0.5,"Spring"
"5688",-1.27374637832284,-0.8,"Spring"
"5689",-1.18481888157315,-0.78,"Spring"
"5690",4.42143840147093,0.98,"Spring"
"5691",1.46455866428083,0.8,"Spring"
"5692",3.5417754824638,0.98,"Spring"
"5713",23.3564727392348,1,"Spring"
"5714",13.1905976005257,1,"Spring"
"5715",2.49404525958637,0.94,"Spring"
"5716",5.4074150645432,1,"Spring"
"5717",-0.616377511197389,-0.34,"Spring"
"5718",2.71053340959393,0.94,"Spring"
"5719",0.175259457275747,0.32,"Spring"
"5720",-0.518147596079599,-0.38,"Spring"
"5721",0.366023392433243,0.5,"Spring"
"5748",4.78019022345575,0.98,"Spring"
