SampleID,Treat,Seasonal,group
BJN1Y1,1,Winter,2022
BJN1Y2,1,Winter,2022
BJN1Y3,1,Winter,2022
BJX1Y1,1,Winter,2022
BJX1Y2,1,Winter,2022
BJX1Y3,1,Winter,2022
BJZ1Y1,1,Winter,2022
BJZ1Y2,1,Winter,2022
BJZ1Y3,1,Winter,2022
BYHX1Y1,1,Winter,2022
BYHX1Y2,1,Winter,2022
BYHX1Y3,1,Winter,2022
CQZ1Y1,1,Winter,2022
CQZ1Y2,1,Winter,2022
CQZ1Y3,1,Winter,2022
CQN1Y1,1,Winter,2022
CQN1Y2,1,Winter,2022
CQN1Y3,1,Winter,2022
DZM1Y1,1,Winter,2022
DZM1Y2,1,Winter,2022
DZM1Y3,1,Winter,2022
GZF1Y1,1,Winter,2022
GZF1Y2,1,Winter,2022
GZF1Y3,1,Winter,2022
HDHZ1Y1,1,Winter,2022
HDHZ1Y2,1,Winter,2022
HDHZ1Y3,1,Winter,2022
JAQ1Y1,1,Winter,2022
JAQ1Y2,1,Winter,2022
JAQ1Y3,1,Winter,2022
QHZ1Y1,1,Winter,2022
QHZ1Y2,1,Winter,2022
QHZ1Y3,1,Winter,2022
SYZ1Y1,1,Winter,2022
SYZ1Y2,1,Winter,2022
SYZ1Y3,1,Winter,2022
SJZ1Y1,1,Winter,2022
SJZ1Y2,1,Winter,2022
SJZ1Y3,1,Winter,2022
XZM1Y1,1,Winter,2022
XZM1Y2,1,Winter,2022
XZM1Y3,1,Winter,2022
YFZ1Y1,1,Winter,2022
YFZ1Y2,1,Winter,2022
YFZ1Y3,1,Winter,2022
BJN2Y1,2,Winter,2022
BJN2Y2,2,Winter,2022
BJN2Y3,2,Winter,2022
BJX2Y1,2,Winter,2022
BJX2Y2,2,Winter,2022
BJX2Y3,2,Winter,2022
BJZ2Y1,2,Winter,2022
BJZ2Y2,2,Winter,2022
BJZ2Y3,2,Winter,2022
BYHX2Y1,2,Winter,2022
BYHX2Y2,2,Winter,2022
BYHX2Y3,2,Winter,2022
CQZ2Y2,2,Winter,2022
CQZ2Y3,2,Winter,2022
CQN2Y1,2,Winter,2022
CQN2Y2,2,Winter,2022
CQN2Y3,2,Winter,2022
DZM2Y1,2,Winter,2022
DZM2Y2,2,Winter,2022
DZM2Y3,2,Winter,2022
GZF2Y1,2,Winter,2022
GZF2Y2,2,Winter,2022
GZF2Y3,2,Winter,2022
HDHZ2Y2,2,Winter,2022
HDHZ2Y3,2,Winter,2022
HDHZ2Y,2,Winter,2022
JAQ2Y1,2,Winter,2022
JAQ2Y2,2,Winter,2022
JAQ2Y3,2,Winter,2022
QHZ2Y1,2,Winter,2022
QHZ2Y2,2,Winter,2022
QHZ2Y3,2,Winter,2022
SYZ2Y1,2,Winter,2022
SYZ2Y2,2,Winter,2022
SYZ2Y3,2,Winter,2022
SJZ2Y1,2,Winter,2022
SJZ2Y2,2,Winter,2022
SJZ2Y3,2,Winter,2022
XZM2Y1,2,Winter,2022
XZM2Y2,2,Winter,2022
XZM2Y3,2,Winter,2022
YFZ2Y1,2,Winter,2022
YFZ2Y2,2,Winter,2022
YFZ2Y3,2,Winter,2022
BJN3Y1,3,Spring,2022
BJN3Y2,3,Spring,2022
BJN3Y3,3,Spring,2022
BJX3Y1,3,Spring,2022
BJX3Y2,3,Spring,2022
BJX3Y,3,Spring,2022
BJZ3Y1,3,Spring,2022
BJZ3Y2,3,Spring,2022
BJZ3Y3,3,Spring,2022
BYHX3Y1,3,Spring,2022
BYHX3Y2,3,Spring,2022
BYHX3Y3,3,Spring,2022
CQZ3Y1,3,Spring,2022
CQZ3Y2,3,Spring,2022
CQZ3Y3,3,Spring,2022
CQN3Y1,3,Spring,2022
CQN3Y2,3,Spring,2022
CQN3Y3,3,Spring,2022
DZM3Y1,3,Spring,2022
DZM3Y2,3,Spring,2022
DZM3Y3,3,Spring,2022
GZF3Y1,3,Spring,2022
GZF3Y2,3,Spring,2022
GZF3Y3,3,Spring,2022
HDHZ3Y1,3,Spring,2022
HDHZ3Y2,3,Spring,2022
HDHZ3Y3,3,Spring,2022
JAQ3Y1,3,Spring,2022
JAQ3Y2,3,Spring,2022
JAQ3Y3,3,Spring,2022
QHZ3Y1,3,Spring,2022
QHZ3Y2,3,Spring,2022
QHZ3Y3,3,Spring,2022
SYZ3Y1,3,Spring,2022
SYZ3Y2,3,Spring,2022
SYZ3Y3,3,Spring,2022
SJZ3Y1,3,Spring,2022
SJZ3Y2,3,Spring,2022
SJZ3Y3,3,Spring,2022
XZM3Y1,3,Spring,2022
XZM3Y2,3,Spring,2022
XZM3Y3,3,Spring,2022
YFZ3Y1,3,Spring,2022
YFZ3Y2,3,Spring,2022
YFZ3Y3,3,Spring,2022
BJX4Y1,4,Spring,2022
BJX4Y2,4,Spring,2022
BJX4Y3,4,Spring,2022
BJZ4Y1,4,Spring,2022
BJZ4Y2,4,Spring,2022
BJZ4Y3,4,Spring,2022
BYHX4Y1,4,Spring,2022
BYHX4Y2,4,Spring,2022
BYHX4Y3,4,Spring,2022
CQZ4Y1,4,Spring,2022
CQZ4Y2,4,Spring,2022
CQZ4Y3,4,Spring,2022
CQN4Y1,4,Spring,2022
CQN4Y2,4,Spring,2022
CQN4Y3,4,Spring,2022
DZM4Y1,4,Spring,2022
DZM4Y2,4,Spring,2022
DZM4Y3,4,Spring,2022
GZF4Y1,4,Spring,2022
GZF4Y2,4,Spring,2022
GZF4Y3,4,Spring,2022
HDHZ4Y1,4,Spring,2022
HDHZ4Y2,4,Spring,2022
HDHZ4Y3,4,Spring,2022
JAQ4Y1,4,Spring,2022
JAQ4Y2,4,Spring,2022
JAQ4Y3,4,Spring,2022
QHZ4Y1,4,Spring,2022
QHZ4Y2,4,Spring,2022
QHZ4Y3,4,Spring,2022
SYZ4Y1,4,Spring,2022
SYZ4Y2,4,Spring,2022
SYZ4Y3,4,Spring,2022
SJZ4Y1,4,Spring,2022
SJZ4Y2,4,Spring,2022
SJZ4Y3,4,Spring,2022
XZM4Y1,4,Spring,2022
XZM4Y2,4,Spring,2022
XZM4Y3,4,Spring,2022
YFZ4Y1,4,Spring,2022
YFZ4Y2,4,Spring,2022
YFZ4Y3,4,Spring,2022
BJN5Y1,5,Spring,2022
BJN5Y2,5,Spring,2022
BJN5Y3,5,Spring,2022
BJX5Y1,5,Spring,2022
BJX5Y2,5,Spring,2022
BJX5Y3,5,Spring,2022
BJZ5Y1,5,Spring,2022
BJZ5Y2,5,Spring,2022
BJZ5Y3,5,Spring,2022
CQZ5Y1,5,Spring,2022
CQZ5Y2,5,Spring,2022
CQZ5Y3,5,Spring,2022
CQN5Y1,5,Spring,2022
CQN5Y2,5,Spring,2022
CQN5Y3,5,Spring,2022
DZM5Y1,5,Spring,2022
DZM5Y2,5,Spring,2022
DZM5Y3,5,Spring,2022
GZF5Y1,5,Spring,2022
GZF5Y2,5,Spring,2022
GZF5Y3,5,Spring,2022
HDHZ5Y1,5,Spring,2022
HDHZ5Y2,5,Spring,2022
HDHZ5Y3,5,Spring,2022
JAQ5Y1,5,Spring,2022
JAQ5Y2,5,Spring,2022
JAQ5Y3,5,Spring,2022
QHZ5Y1,5,Spring,2022
QHZ5Y2,5,Spring,2022
QHZ5Y3,5,Spring,2022
SYZ5Y1,5,Spring,2022
SYZ5Y2,5,Spring,2022
SYZ5Y3,5,Spring,2022
SJZ5Y1,5,Spring,2022
SJZ5Y2,5,Spring,2022
SJZ5Y3,5,Spring,2022
XZM5Y1,5,Spring,2022
XZM5Y2,5,Spring,2022
XZM5Y3,5,Spring,2022
YFZ5Y1,5,Spring,2022
YFZ5Y2,5,Spring,2022
YFZ5Y3,5,Spring,2022
BJN6Y1,6,Summer,2022
BJN6Y2,6,Summer,2022
BJN6Y3,6,Summer,2022
BJX6Y1,6,Summer,2022
BJX6Y2,6,Summer,2022
BJX6Y3,6,Summer,2022
BJZ6Y1,6,Summer,2022
BJZ6Y2,6,Summer,2022
BJZ6Y3,6,Summer,2022
BYHX6Y1,6,Summer,2022
BYHX6Y2,6,Summer,2022
BYHX6Y3,6,Summer,2022
CQZ6Y1,6,Summer,2022
CQZ6Y2,6,Summer,2022
CQZ6Y3,6,Summer,2022
CQN6Y1,6,Summer,2022
CQN6Y2,6,Summer,2022
CQN6Y3,6,Summer,2022
DZM6Y1,6,Summer,2022
DZM6Y2,6,Summer,2022
DZM6Y3,6,Summer,2022
GZF6Y1,6,Summer,2022
GZF6Y2,6,Summer,2022
GZF6Y3,6,Summer,2022
HDHZ6Y1,6,Summer,2022
HDHZ6Y2,6,Summer,2022
HDHZ6Y3,6,Summer,2022
JAQ6Y1,6,Summer,2022
JAQ6Y2,6,Summer,2022
JAQ6Y3,6,Summer,2022
QHZ6Y1,6,Summer,2022
QHZ6Y2,6,Summer,2022
QHZ6Y3,6,Summer,2022
SYZ6Y1,6,Summer,2022
SYZ6Y2,6,Summer,2022
SYZ6Y3,6,Summer,2022
SJZ6Y1,6,Summer,2022
SJZ6Y2,6,Summer,2022
SJZ6Y3,6,Summer,2022
XZM6Y1,6,Summer,2022
XZM6Y2,6,Summer,2022
XZM6Y3,6,Summer,2022
BJN7Y1,7,Summer,2022
BJN7Y2,7,Summer,2022
BJN7Y3,7,Summer,2022
BJX7Y1,7,Summer,2022
BJX7Y2,7,Summer,2022
BJX7Y3,7,Summer,2022
CQZ7Y1,7,Summer,2022
CQZ7Y2,7,Summer,2022
CQZ7Y3,7,Summer,2022
CQN7Y1,7,Summer,2022
CQN7Y2,7,Summer,2022
CQN7Y3,7,Summer,2022
DZM7Y1,7,Summer,2022
DZM7Y2,7,Summer,2022
DZM7Y3,7,Summer,2022
HDHZ7Y1,7,Summer,2022
HDHZ7Y2,7,Summer,2022
HDHZ7Y3,7,Summer,2022
JAQ7Y1,7,Summer,2022
JAQ7Y2,7,Summer,2022
JAQ7Y3,7,Summer,2022
QHZ7Y1,7,Summer,2022
QHZ7Y2,7,Summer,2022
QHZ7Y3,7,Summer,2022
SYZ7Y1,7,Summer,2022
SYZ7Y2,7,Summer,2022
SYZ7Y3,7,Summer,2022
XZM7Y1,7,Summer,2022
XZM7Y2,7,Summer,2022
XZM7Y3,7,Summer,2022
YFZ7Y1,7,Summer,2022
YFZ7Y2,7,Summer,2022
YFZ7Y3,7,Summer,2022
BJN8Y1,8,Summer,2022
BJN8Y2,8,Summer,2022
BJN8Y3,8,Summer,2022
BJX8Y1,8,Summer,2022
BJX8Y2,8,Summer,2022
BJX8Y3,8,Summer,2022
BJZ8Y1,8,Summer,2022
BJZ8Y2,8,Summer,2022
BJZ8Y3,8,Summer,2022
CQZ8Y1,8,Summer,2022
CQZ8Y2,8,Summer,2022
CQZ8Y3,8,Summer,2022
CQN8Y1,8,Summer,2022
CQN8Y2,8,Summer,2022
CQN8Y3,8,Summer,2022
DZM8Y1,8,Summer,2022
DZM8Y2,8,Summer,2022
DZM8Y3,8,Summer,2022
GZF8Y1,8,Summer,2022
GZF8Y2,8,Summer,2022
GZF8Y3,8,Summer,2022
HDHZ8Y1,8,Summer,2022
HDHZ8Y2,8,Summer,2022
HDHZ8Y3,8,Summer,2022
JAQ8Y1,8,Summer,2022
JAQ8Y2,8,Summer,2022
JAQ8Y3,8,Summer,2022
QHZ8Y1,8,Summer,2022
QHZ8Y2,8,Summer,2022
QHZ8Y3,8,Summer,2022
SYZ8Y1,8,Summer,2022
SYZ8Y2,8,Summer,2022
SYZ8Y3,8,Summer,2022
SJZ8Y1,8,Summer,2022
SJZ8Y2,8,Summer,2022
SJZ8Y3,8,Summer,2022
XZM8Y1,8,Summer,2022
XZM8Y2,8,Summer,2022
XZM8Y3,8,Summer,2022
BJN9Y2,9,Autumn,2022
BJN9Y3,9,Autumn,2022
BJN9Y,9,Autumn,2022
BJZ9Y1,9,Autumn,2022
BJZ9Y2,9,Autumn,2022
BJZ9Y3,9,Autumn,2022
BYHX9Y1,9,Autumn,2022
BYHX9Y2,9,Autumn,2022
BYHX9Y3,9,Autumn,2022
CQZ2Y1,9,Autumn,2022
CQZ9Y1,9,Autumn,2022
CQZ9Y2,9,Autumn,2022
CQZ9Y3,9,Autumn,2022
CQN9Y1,9,Autumn,2022
CQN9Y2,9,Autumn,2022
CQN9Y3,9,Autumn,2022
DZM9Y1,9,Autumn,2022
DZM9Y2,9,Autumn,2022
DZM9Y3,9,Autumn,2022
HDHZ219Y1,9,Autumn,2022
HDHZ219Y2,9,Autumn,2022
HDHZ9Y1,9,Autumn,2022
HDHZ9Y2,9,Autumn,2022
HDHZ9Y3,9,Autumn,2022
JAQ9Y1,9,Autumn,2022
JAQ9Y2,9,Autumn,2022
JAQ9Y3,9,Autumn,2022
QHZ9Y1,9,Autumn,2022
QHZ9Y2,9,Autumn,2022
QHZ9Y3,9,Autumn,2022
SYZ9Y1,9,Autumn,2022
SYZ9Y2,9,Autumn,2022
SYZ9Y3,9,Autumn,2022
SJZ9Y1,9,Autumn,2022
SJZ9Y2,9,Autumn,2022
SJZ9Y3,9,Autumn,2022
XZM9Y1,9,Autumn,2022
XZM9Y2,9,Autumn,2022
XZM9Y3,9,Autumn,2022
YFZ9Y1,9,Autumn,2022
YFZ9Y2,9,Autumn,2022
YFZ9Y3,9,Autumn,2022
CQZ219Y1,10,Autumn,2021
CQZ219Y2,10,Autumn,2021
JAQ219Y1,10,Autumn,2021
