SampleID	Sample	Station	Month	Month1	Seasonal	Seasonal1	StationType	Lines	District	Year	Aver_Temp	Aver_Low_Temp	Aver_High_Temp	Aver_PM25	Low_PM25	Aver_Rain	Aver_humid	Aver_Wind_Speed	Aver_Radiation
BJN1Y1	BJN1Y1	Beijingnan	Jan	1	Winter	Cold	Intercity	4_14	Fengtai	2022	-1	-5	3	125	247	0.2	42	5.5	6.8
BJN1Y2	BJN1Y2	Beijingnan	Jan	1	Winter	Cold	Intercity	4_14	Fengtai	2022	-1	-5	3	125	247	0.2	42	5.5	6.8
BJN1Y3	BJN1Y3	Beijingnan	Jan	1	Winter	Cold	Intercity	4_14	Fengtai	2022	-1	-5	3	125	247	0.2	42	5.5	6.8
BJX1Y1	BJX1Y1	Beijingxi	Jan	1	Winter	Cold	Intercity	7_9	Fengtai	2022	-1	-5	3	125	247	0.2	42	5.5	6.8
BJX1Y2	BJX1Y2	Beijingxi	Jan	1	Winter	Cold	Intercity	7_9	Fengtai	2022	-1	-5	3	125	247	0.2	42	5.5	6.8
BJX1Y3	BJX1Y3	Beijingxi	Jan	1	Winter	Cold	Intercity	7_9	Fengtai	2022	-1	-5	3	125	247	0.2	42	5.5	6.8
BJZ1Y1	BJZ1Y1	Beijingzhan	Jan	1	Winter	Cold	Intercity	2	Dongcheng	2022	-1	-5	3	125	247	0.2	42	5.5	6.8
BJZ1Y2	BJZ1Y2	Beijingzhan	Jan	1	Winter	Cold	Intercity	2	Dongcheng	2022	-1	-5	3	125	247	0.2	42	5.5	6.8
BJZ1Y3	BJZ1Y3	Beijingzhan	Jan	1	Winter	Cold	Intercity	2	Dongcheng	2022	-1	-5	3	125	247	0.2	42	5.5	6.8
BYHX1Y1	BYHX1Y1	Beiyunhexi	Jan	1	Winter	Cold	Residential	6	Tongzhou	2022	-1	-5	3	125	247	0.2	42	5.5	6.8
BYHX1Y2	BYHX1Y2	Beiyunhexi	Jan	1	Winter	Cold	Residential	6	Tongzhou	2022	-1	-5	3	125	247	0.2	42	5.5	6.8
BYHX1Y3	BYHX1Y3	Beiyunhexi	Jan	1	Winter	Cold	Residential	6	Tongzhou	2022	-1	-5	3	125	247	0.2	42	5.5	6.8
CQZ1Y1	CQZ1Y1	Caoqiao	Jan	1	Winter	Cold	UrbanHub	DX_10_19	Fengtai	2022	-1	-5	3	125	247	0.2	42	5.5	6.8
CQZ1Y2	CQZ1Y2	Caoqiao	Jan	1	Winter	Cold	UrbanHub	DX_10_19	Fengtai	2022	-1	-5	3	125	247	0.2	42	5.5	6.8
CQZ1Y3	CQZ1Y3	Caoqiao	Jan	1	Winter	Cold	UrbanHub	DX_10_19	Fengtai	2022	-1	-5	3	125	247	0.2	42	5.5	6.8
CQN1Y1	CQN1Y1	Ciqunan	Jan	1	Winter	Cold	Residential	17	Tongzhou	2022	-1	-5	3	125	247	0.2	42	5.5	6.8
CQN1Y2	CQN1Y2	Ciqunan	Jan	1	Winter	Cold	Residential	17	Tongzhou	2022	-1	-5	3	125	247	0.2	42	5.5	6.8
CQN1Y3	CQN1Y3	Ciqunan	Jan	1	Winter	Cold	Residential	17	Tongzhou	2022	-1	-5	3	125	247	0.2	42	5.5	6.8
DZM1Y1	DZM1Y1	Dongzhimen	Jan	1	Winter	Cold	UrbanHub	JC_2_13	Dongcheng	2022	-1	-5	3	125	247	0.2	42	5.5	6.8
DZM1Y2	DZM1Y2	Dongzhimen	Jan	1	Winter	Cold	UrbanHub	JC_2_13	Dongcheng	2022	-1	-5	3	125	247	0.2	42	5.5	6.8
DZM1Y3	DZM1Y3	Dongzhimen	Jan	1	Winter	Cold	UrbanHub	JC_2_13	Dongcheng	2022	-1	-5	3	125	247	0.2	42	5.5	6.8
GZF1Y1	GZF1Y1	Gongzhufen	Jan	1	Winter	Cold	UrbanHub	1_10	Haidian	2022	-1	-5	3	125	247	0.2	42	5.5	6.8
GZF1Y2	GZF1Y2	Gongzhufen	Jan	1	Winter	Cold	UrbanHub	1_10	Haidian	2022	-1	-5	3	125	247	0.2	42	5.5	6.8
GZF1Y3	GZF1Y3	Gongzhufen	Jan	1	Winter	Cold	UrbanHub	1_10	Haidian	2022	-1	-5	3	125	247	0.2	42	5.5	6.8
HDHZ1Y1	HDHZ1Y1	Haidianhuangzhuang	Jan	1	Winter	Cold	UrbanHub	4_10	Haidian	2022	-1	-5	3	125	247	0.2	42	5.5	6.8
HDHZ1Y2	HDHZ1Y2	Haidianhuangzhuang	Jan	1	Winter	Cold	UrbanHub	4_10	Haidian	2022	-1	-5	3	125	247	0.2	42	5.5	6.8
HDHZ1Y3	HDHZ1Y3	Haidianhuangzhuang	Jan	1	Winter	Cold	UrbanHub	4_10	Haidian	2022	-1	-5	3	125	247	0.2	42	5.5	6.8
JAQ1Y1	JAQ1Y1	Jinanqiao	Jan	1	Winter	Cold	UrbanHub	S1_6_11	Shijingshan	2022	-1	-5	3	125	247	0.2	42	5.5	6.8
JAQ1Y2	JAQ1Y2	Jinanqiao	Jan	1	Winter	Cold	UrbanHub	S1_6_11	Shijingshan	2022	-1	-5	3	125	247	0.2	42	5.5	6.8
JAQ1Y3	JAQ1Y3	Jinanqiao	Jan	1	Winter	Cold	UrbanHub	S1_6_11	Shijingshan	2022	-1	-5	3	125	247	0.2	42	5.5	6.8
QHZ1Y1	QHZ1Y1	Qinghezhan	Jan	1	Winter	Cold	Intercity	CP_13	Changping	2022	-1	-5	3	125	247	0.2	42	5.5	6.8
QHZ1Y2	QHZ1Y2	Qinghezhan	Jan	1	Winter	Cold	Intercity	CP_13	Changping	2022	-1	-5	3	125	247	0.2	42	5.5	6.8
QHZ1Y3	QHZ1Y3	Qinghezhan	Jan	1	Winter	Cold	Intercity	CP_13	Changping	2022	-1	-5	3	125	247	0.2	42	5.5	6.8
SYZ1Y1	SYZ1Y1	Shunyizhan	Jan	1	Winter	Cold	Residential	15	Shunyi	2022	-1	-5	3	125	247	0.2	42	5.5	6.8
SYZ1Y2	SYZ1Y2	Shunyizhan	Jan	1	Winter	Cold	Residential	15	Shunyi	2022	-1	-5	3	125	247	0.2	42	5.5	6.8
SYZ1Y3	SYZ1Y3	Shunyizhan	Jan	1	Winter	Cold	Residential	15	Shunyi	2022	-1	-5	3	125	247	0.2	42	5.5	6.8
SJZ1Y1	SJZ1Y1	Songjiazhuang	Jan	1	Winter	Cold	UrbanHub	YZ_5_10	Fengtai	2022	-1	-5	3	125	247	0.2	42	5.5	6.8
SJZ1Y2	SJZ1Y2	Songjiazhuang	Jan	1	Winter	Cold	UrbanHub	YZ_5_11	Fengtai	2022	-1	-5	3	125	247	0.2	42	5.5	6.8
SJZ1Y3	SJZ1Y3	Songjiazhuang	Jan	1	Winter	Cold	UrbanHub	YZ_5_12	Fengtai	2022	-1	-5	3	125	247	0.2	42	5.5	6.8
XZM1Y1	XZM1Y1	Xizhimen	Jan	1	Winter	Cold	UrbanHub	2_4_13	Xicheng	2022	-1	-5	3	125	247	0.2	42	5.5	6.8
XZM1Y2	XZM1Y2	Xizhimen	Jan	1	Winter	Cold	UrbanHub	2_4_13	Xicheng	2022	-1	-5	3	125	247	0.2	42	5.5	6.8
XZM1Y3	XZM1Y3	Xizhimen	Jan	1	Winter	Cold	UrbanHub	2_4_13	Xicheng	2022	-1	-5	3	125	247	0.2	42	5.5	6.8
YFZ1Y1	YFZ1Y1	Yongfengzhan	Jan	1	Winter	Cold	Residential	16	Haidian	2022	-1	-5	3	125	247	0.2	42	5.5	6.8
YFZ1Y2	YFZ1Y2	Yongfengzhan	Jan	1	Winter	Cold	Residential	16	Haidian	2022	-1	-5	3	125	247	0.2	42	5.5	6.8
YFZ1Y3	YFZ1Y3	Yongfengzhan	Jan	1	Winter	Cold	Residential	16	Haidian	2022	-1	-5	3	125	247	0.2	42	5.5	6.8
BJN2Y1	BJN2Y1	Beijingnan	Feb	2	Winter	Cold	Intercity	4_14	Fengtai	2022	0	-5	5	80	149	2	43	7.2	8.1
BJN2Y2	BJN2Y2	Beijingnan	Feb	2	Winter	Cold	Intercity	4_14	Fengtai	2022	0	-5	5	80	149	2	43	7.2	8.1
BJN2Y3	BJN2Y3	Beijingnan	Feb	2	Winter	Cold	Intercity	4_14	Fengtai	2022	0	-5	5	80	149	2	43	7.2	8.1
BJX2Y1	BJX2Y1	Beijingxi	Feb	2	Winter	Cold	Intercity	7_9	Fengtai	2022	0	-5	5	80	149	2	43	7.2	8.1
BJX2Y2	BJX2Y2	Beijingxi	Feb	2	Winter	Cold	Intercity	7_9	Fengtai	2022	0	-5	5	80	149	2	43	7.2	8.1
BJX2Y3	BJX2Y3	Beijingxi	Feb	2	Winter	Cold	Intercity	7_9	Fengtai	2022	0	-5	5	80	149	2	43	7.2	8.1
BJZ2Y1	BJZ2Y1	Beijingzhan	Feb	2	Winter	Cold	Intercity	2	Dongcheng	2022	0	-5	5	80	149	2	43	7.2	8.1
BJZ2Y2	BJZ2Y2	Beijingzhan	Feb	2	Winter	Cold	Intercity	2	Dongcheng	2022	0	-5	5	80	149	2	43	7.2	8.1
BJZ2Y3	BJZ2Y3	Beijingzhan	Feb	2	Winter	Cold	Intercity	2	Dongcheng	2022	0	-5	5	80	149	2	43	7.2	8.1
BYHX2Y1	BYHX2Y1	Beiyunhexi	Feb	2	Winter	Cold	Residential	6	Tongzhou	2022	0	-5	5	80	149	2	43	7.2	8.1
BYHX2Y2	BYHX2Y2	Beiyunhexi	Feb	2	Winter	Cold	Residential	6	Tongzhou	2022	0	-5	5	80	149	2	43	7.2	8.1
BYHX2Y3	BYHX2Y3	Beiyunhexi	Feb	2	Winter	Cold	Residential	6	Tongzhou	2022	0	-5	5	80	149	2	43	7.2	8.1
CQZ2Y2	CQZ2Y2	Caoqiao	Feb	2	Winter	Cold	UrbanHub	DX_10_19	Fengtai	2022	0	-5	5	80	149	2	43	7.2	8.1
CQZ2Y3	CQZ2Y3	Caoqiao	Feb	2	Winter	Cold	UrbanHub	DX_10_19	Fengtai	2022	0	-5	5	80	149	2	43	7.2	8.1
CQN2Y1	CQN2Y1	Ciqunan	Feb	2	Winter	Cold	Residential	17	Tongzhou	2022	0	-5	5	80	149	2	43	7.2	8.1
CQN2Y2	CQN2Y2	Ciqunan	Feb	2	Winter	Cold	Residential	17	Tongzhou	2022	0	-5	5	80	149	2	43	7.2	8.1
CQN2Y3	CQN2Y3	Ciqunan	Feb	2	Winter	Cold	Residential	17	Tongzhou	2022	0	-5	5	80	149	2	43	7.2	8.1
DZM2Y1	DZM2Y1	Dongzhimen	Feb	2	Winter	Cold	UrbanHub	JC_2_13	Dongcheng	2022	0	-5	5	80	149	2	43	7.2	8.1
DZM2Y2	DZM2Y2	Dongzhimen	Feb	2	Winter	Cold	UrbanHub	JC_2_13	Dongcheng	2022	0	-5	5	80	149	2	43	7.2	8.1
DZM2Y3	DZM2Y3	Dongzhimen	Feb	2	Winter	Cold	UrbanHub	JC_2_13	Dongcheng	2022	0	-5	5	80	149	2	43	7.2	8.1
GZF2Y1	GZF2Y1	Gongzhufen	Feb	2	Winter	Cold	UrbanHub	1_10	Haidian	2022	0	-5	5	80	149	2	43	7.2	8.1
GZF2Y2	GZF2Y2	Gongzhufen	Feb	2	Winter	Cold	UrbanHub	1_10	Haidian	2022	0	-5	5	80	149	2	43	7.2	8.1
GZF2Y3	GZF2Y3	Gongzhufen	Feb	2	Winter	Cold	UrbanHub	1_10	Haidian	2022	0	-5	5	80	149	2	43	7.2	8.1
