,BJN11Y1,BJN11Y2,BJN11Y3,BJN12Y1,BJN12Y2,BJN12Y3,BJN1Y1,BJN1Y2,BJN1Y3,BJN2Y1,BJN2Y2,BJN2Y3,BJN3Y1,BJN3Y2,BJN3Y3,BJN5Y1,BJN5Y2,BJN5Y3,BJN6Y1,BJN6Y2,BJN6Y3,BJN7Y1,BJN7Y2,BJN7Y3,BJN8Y1,BJN8Y2,BJN8Y3,BJN9Y2,BJN9Y3,BJN9Y,BJX11Y1,BJX11Y2,BJX11Y3,BJX12Y1,BJX12Y2,BJX12Y3,BJX1Y1,BJX1Y2,BJX1Y3,BJX2Y1,BJX2Y2,BJX2Y3,BJX3Y1,BJX3Y2,BJX3Y,BJX4Y1,BJX4Y2,BJX4Y3,BJX5Y1,BJX5Y2,BJX5Y3,BJX6Y1,BJX6Y2,BJX6Y3,BJX7Y1,BJX7Y2,BJX7Y3,BJX8Y1,BJX8Y2,BJX8Y3,BJZ12Y1,BJZ12Y2,BJZ12Y3,BJZ1Y1,BJZ1Y2,BJZ1Y3,BJZ2Y1,BJZ2Y2,BJZ2Y3,BJZ3Y1,BJZ3Y2,BJZ3Y3,BJZ4Y1,BJZ4Y2,BJZ4Y3,BJZ5Y1,BJZ5Y2,BJZ5Y3,BJZ6Y1,BJZ6Y2,BJZ6Y3,BJZ8Y1,BJZ8Y2,BJZ8Y3,BJZ9Y1,BJZ9Y2,BJZ9Y3,BYHX11Y1,BYHX11Y2,BYHX11Y3,BYHX12Y1,BYHX12Y2,BYHX12Y3,BYHX1Y1,BYHX1Y2,BYHX1Y3,BYHX2Y1,BYHX2Y2,BYHX2Y3,BYHX3Y1,BYHX3Y2,BYHX3Y3,BYHX4Y1,BYHX4Y2,BYHX4Y3,BYHX6Y1,BYHX6Y2,BYHX6Y3,BYHX9Y1,BYHX9Y2,BYHX9Y3,CQN11Y1,CQN11Y2,CQN11Y3,CQN12Y1,CQN12Y2,CQN12Y3,CQN1Y1,CQN1Y2,CQN1Y3,CQN2Y1,CQN2Y2,CQN2Y3,CQN3Y1,CQN3Y2,CQN3Y3,CQN4Y1,CQN4Y2,CQN4Y3,CQN5Y1,CQN5Y2,CQN5Y3,CQN6Y1,CQN6Y2,CQN6Y3,CQN7Y1,CQN7Y2,CQN7Y3,CQN8Y1,CQN8Y2,CQN8Y3,CQN9Y1,CQN9Y2,CQN9Y3,CQZ12Y1,CQZ12Y2,CQZ12Y3,CQZ1Y1,CQZ1Y2,CQZ1Y3,CQZ219Y1,CQZ219Y2,CQZ2Y1,CQZ2Y2,CQZ2Y3,CQZ3Y1,CQZ3Y2,CQZ3Y3,CQZ4Y1,CQZ4Y2,CQZ4Y3,CQZ5Y1,CQZ5Y2,CQZ5Y3,CQZ6Y1,CQZ6Y2,CQZ6Y3,CQZ7Y1,CQZ7Y2,CQZ7Y3,CQZ8Y1,CQZ8Y2,CQZ8Y3,CQZ9Y1,CQZ9Y2,CQZ9Y3,DZM12Y1,DZM12Y2,DZM12Y3,DZM1Y1,DZM1Y2,DZM1Y3,DZM2Y1,DZM2Y2,DZM2Y3,DZM3Y1,DZM3Y2,DZM3Y3,DZM4Y1,DZM4Y2,DZM4Y3,DZM5Y1,DZM5Y2,DZM5Y3,DZM6Y1,DZM6Y2,DZM6Y3,DZM7Y1,DZM7Y2,DZM7Y3,DZM8Y1,DZM8Y2,DZM8Y3,DZM9Y1,DZM9Y2,DZM9Y3,GZF11Y1,GZF11Y2,GZF11Y3,GZF12Y1,GZF12Y2,GZF12Y3,GZF1Y1,GZF1Y2,GZF1Y3,GZF2Y1,GZF2Y2,GZF2Y3,GZF3Y1,GZF3Y2,GZF3Y3,GZF4Y1,GZF4Y2,GZF4Y3,GZF5Y1,GZF5Y2,GZF5Y3,GZF6Y1,GZF6Y2,GZF6Y3,GZF8Y1,GZF8Y2,GZF8Y3,HDHZ11Y1,HDHZ11Y2,HDHZ11Y3,HDHZ12Y1,HDHZ12Y2,HDHZ12Y3,HDHZ1Y1,HDHZ1Y2,HDHZ1Y3,HDHZ219Y1,HDHZ219Y2,HDHZ2Y2,HDHZ2Y3,HDHZ2Y,HDHZ3Y1,HDHZ3Y2,HDHZ3Y3,HDHZ4Y1,HDHZ4Y2,HDHZ4Y3,HDHZ5Y1,HDHZ5Y2,HDHZ5Y3,HDHZ6Y1,HDHZ6Y2,HDHZ6Y3,HDHZ7Y1,HDHZ7Y2,HDHZ7Y3,HDHZ8Y1,HDHZ8Y2,HDHZ8Y3,HDHZ9Y1,HDHZ9Y2,HDHZ9Y3,JAQ11Y1,JAQ11Y3,JAQ11Y,JAQ12Y1,JAQ12Y2,JAQ12Y3,JAQ1Y1,JAQ1Y2,JAQ1Y3,JAQ219Y1,JAQ219Y2,JAQ2Y1,JAQ2Y2,JAQ2Y3,JAQ3Y1,JAQ3Y2,JAQ3Y3,JAQ4Y1,JAQ4Y2,JAQ4Y3,JAQ5Y1,JAQ5Y2,JAQ5Y3,JAQ6Y1,JAQ6Y2,JAQ6Y3,JAQ7Y1,JAQ7Y2,JAQ7Y3,JAQ8Y1,JAQ8Y2,JAQ8Y3,JAQ9Y1,JAQ9Y2,JAQ9Y3,QHZ11Y1,QHZ11Y2,QHZ11Y3,QHZ12Y1,QHZ12Y2,QHZ12Y3,QHZ1Y1,QHZ1Y2,QHZ1Y3,QHZ219Y1,QHZ219Y2,QHZ2Y1,QHZ2Y2,QHZ2Y3,QHZ3Y1,QHZ3Y2,QHZ3Y3,QHZ4Y1,QHZ4Y2,QHZ4Y3,QHZ5Y1,QHZ5Y2,QHZ5Y3,QHZ6Y1,QHZ6Y2,QHZ6Y3,QHZ7Y1,QHZ7Y2,QHZ7Y3,QHZ8Y1,QHZ8Y2,QHZ8Y3,QHZ9Y1,QHZ9Y2,QHZ9Y3,SJZ11Y1,SJZ11Y2,SJZ11Y3,SJZ12Y1,SJZ12Y2,SJZ12Y3,SJZ1Y1,SJZ1Y2,SJZ1Y3,SJZ219Y1,SJZ219Y2,SJZ2Y1,SJZ2Y2,SJZ2Y3,SJZ3Y1,SJZ3Y2,SJZ3Y3,SJZ4Y1,SJZ4Y2,SJZ4Y3,SJZ5Y1,SJZ5Y2,SJZ5Y3,SJZ6Y1,SJZ6Y2,SJZ6Y3,SJZ8Y1,SJZ8Y2,SJZ8Y3,SJZ9Y1,SJZ9Y2,SJZ9Y3,SYZ11Y1,SYZ11Y2,SYZ11Y3,SYZ12Y1,SYZ12Y2,SYZ12Y3,SYZ1Y1,SYZ1Y2,SYZ1Y3,SYZ2Y1,SYZ2Y2,SYZ2Y3,SYZ3Y1,SYZ3Y2,SYZ3Y3,SYZ4Y1,SYZ4Y2,SYZ4Y3,SYZ5Y1,SYZ5Y2,SYZ5Y3,SYZ6Y1,SYZ6Y2,SYZ6Y3,SYZ7Y1,SYZ7Y2,SYZ7Y3,SYZ8Y1,SYZ8Y2,SYZ8Y3,SYZ9Y1,SYZ9Y2,SYZ9Y3,XZM11Y1,XZM11Y2,XZM11Y3,XZM12Y1,XZM12Y2,XZM12Y3,XZM1Y1,XZM1Y2,XZM1Y3,XZM2Y1,XZM2Y2,XZM2Y3,XZM3Y1,XZM3Y2,XZM3Y3,XZM4Y1,XZM4Y2,XZM4Y3,XZM5Y1,XZM5Y2,XZM5Y3,XZM6Y1,XZM6Y2,XZM6Y3,XZM7Y1,XZM7Y2,XZM7Y3,XZM8Y1,XZM8Y2,XZM8Y3,XZM9Y1,XZM9Y2,XZM9Y3,YFZ11Y1,YFZ11Y2,YFZ11Y3,YFZ12Y1,YFZ12Y2,YFZ12Y3,YFZ1Y1,YFZ1Y2,YFZ1Y3,YFZ2Y1,YFZ2Y2,YFZ2Y3,YFZ3Y1,YFZ3Y2,YFZ3Y3,YFZ4Y1,YFZ4Y2,YFZ4Y3,YFZ5Y1,YFZ5Y2,YFZ5Y3,YFZ7Y1,YFZ7Y2,YFZ7Y3,YFZ9Y1,YFZ9Y2,YFZ9Y3
ASV_152,2,2,9,118,174,105,8,36,10,6,4,1,266,135,164,60,86,101,477,362,419,1,0,0,1,12,0,68,121,30,2,0,2,34,5,11,4,4,0,5,7,10,5,8,1,325,354,514,55,56,37,31,7,164,1,0,0,0,0,0,4,7,2,26,21,20,4,2,1,0,3,1,117,189,313,9,7,4,3,2,4,1,0,1,1,2,3,6,1,2,935,1026,1336,96,200,396,36,241,180,3,26,10,245,321,266,2,2,0,0,3,2,1,0,0,126,114,71,315,431,400,237,384,219,18,26,24,300,313,302,42,94,66,152,174,217,0,0,1,0,1,0,7,9,6,49,69,53,1236,1151,875,59,120,277,218,285,4,21,3,89,101,100,50,193,40,14,179,221,0,3,0,0,0,1,0,1,0,1529,5,2,0,6,3,4,19,26,33,18,54,99,137,72,5,28,16,3,4,0,1,2,1,0,4,5,5,119,14,0,0,0,208,167,137,96,142,183,62,24,84,117,246,387,10,8,0,9,37,23,1,40,99,5,2,1,5,4,5,10,67,16,179,281,331,3,5,139,163,42,71,27,45,227,288,223,66,74,75,158,220,166,0,0,0,3,8,4,0,0,6,4,1,3,16,35,49,72,128,139,41,106,58,94,58,1,13,12,230,297,348,18,19,15,5,35,4,1,1,1,3,123,1,5,2,1,2,1,1,8,7,18,99,106,91,2,19,35,38,12,5,2,3,5,7,9,16,23,6,0,2,0,0,3,6,1,1,2,82,7,21,1,0,0,34,123,187,173,216,258,35,21,130,205,68,96,92,117,3,15,8,3,4,4,0,6,1,0,1,6,107,111,61,1,2,0,1818,1231,1881,761,1080,695,690,463,556,16,9,24,210,409,384,164,15,61,51,33,20,1,1,0,0,0,0,23,26,27,5,3,0,2099,1841,1684,5,5,3,1,4,6,18,32,18,391,271,218,7,16,11,3,3,0,7,0,0,1,0,0,91,113,80,3,7,3,35,26,27,25,39,43,123,124,144,6,5,15,5,11,7,3,7,9,2,0,0,8,22,12
ASV_154,1,4,11,176,45,95,12,59,16,4,10,0,49,180,100,93,104,106,457,529,486,1,4,1,0,9,1,46,53,9,3,1,0,40,3,5,0,3,5,3,3,14,4,6,0,330,517,347,65,68,41,24,7,155,1,0,0,0,1,0,0,2,2,24,21,25,1,4,9,0,1,4,72,142,260,4,16,2,2,5,7,0,0,2,5,4,2,2,0,3,1155,1378,1177,121,222,307,31,275,146,17,18,8,238,301,252,0,3,3,2,1,1,0,0,0,89,146,54,377,405,407,287,320,248,17,21,7,250,340,315,25,94,80,188,172,212,0,0,0,0,1,0,10,9,2,31,73,62,1120,1072,917,48,76,308,381,399,5,11,6,103,100,104,42,172,70,7,188,137,3,0,1,0,0,1,0,0,0,1537,15,3,2,6,10,8,13,15,42,10,22,106,192,46,4,15,11,1,1,0,0,1,0,1,3,8,11,110,5,4,0,0,260,185,152,140,172,187,70,18,120,196,149,86,11,11,5,25,30,31,6,44,88,4,3,0,6,8,4,13,40,28,157,427,412,4,7,97,204,23,53,17,53,255,292,242,72,71,125,243,270,136,1,0,0,7,9,0,0,0,2,4,0,1,23,29,81,113,156,177,75,94,122,108,76,6,8,7,281,400,218,9,27,9,6,11,8,0,0,0,1,18,0,1,1,1,3,0,0,13,11,13,114,106,144,6,52,31,19,10,2,7,2,11,6,9,9,19,8,0,1,0,0,4,0,1,1,3,63,12,20,0,0,0,67,120,172,186,249,272,28,36,93,150,65,109,150,165,6,13,8,1,5,6,0,0,1,0,1,5,99,69,26,1,3,0,1880,1606,1947,730,781,678,451,507,443,25,13,17,246,395,346,151,19,84,13,18,22,0,1,1,0,0,0,30,28,33,2,2,1,1018,2097,1703,5,6,1,3,5,3,26,19,26,242,335,200,5,16,19,1,3,0,5,0,0,1,0,0,61,80,72,1,1,4,44,31,29,38,36,35,109,126,137,4,7,9,2,9,23,5,12,11,0,1,0,5,16,23
ASV_175,0,4,13,109,178,80,13,52,10,5,10,5,187,124,108,50,58,118,475,420,384,0,0,0,2,6,1,31,64,28,1,0,0,28,7,9,3,7,5,3,5,6,1,11,1,293,402,325,39,65,38,19,12,128,0,1,0,0,1,0,1,3,6,18,11,28,5,2,6,0,2,6,78,150,240,5,7,2,3,1,4,1,3,2,1,1,1,8,0,3,957,1073,1076,85,207,327,45,235,123,7,28,12,181,248,208,1,0,0,0,1,0,3,0,0,84,85,58,327,356,321,214,252,174,15,25,15,212,255,249,35,78,71,138,152,193,0,0,0,0,0,0,6,8,1,36,69,73,952,797,781,40,114,274,243,294,4,11,4,81,88,95,42,120,46,10,177,107,0,0,0,0,0,0,0,0,0,1387,6,3,2,3,7,4,18,23,37,20,24,61,131,43,12,24,6,0,1,2,1,3,0,1,9,3,5,123,4,2,0,0,207,172,128,114,143,121,77,10,107,173,160,357,8,8,4,19,35,20,1,41,72,2,3,1,2,0,5,14,52,18,128,295,318,0,2,94,173,23,57,22,46,207,290,250,71,75,88,181,236,169,1,0,0,0,9,4,0,1,0,9,3,1,30,38,51,57,109,136,61,73,86,86,74,1,6,3,209,307,266,14,19,9,1,2,2,0,0,0,0,9,0,1,2,0,4,1,1,8,6,12,88,89,79,2,54,32,13,7,7,2,4,6,18,10,15,16,3,0,1,1,0,1,1,0,0,2,37,25,24,1,0,1,38,100,204,168,183,227,21,20,116,147,53,68,105,109,2,7,16,3,2,1,2,0,0,0,0,2,80,68,30,5,3,0,1615,1308,1706,615,763,609,569,402,423,15,7,24,199,311,343,177,16,58,48,18,29,0,0,0,0,1,0,20,17,24,3,4,0,1754,1710,1332,3,11,7,3,2,8,17,24,22,255,265,151,4,12,15,0,0,2,0,0,2,1,0,0,44,55,57,4,0,2,34,44,37,21,47,43,99,97,136,2,14,17,5,7,1,1,7,19,2,1,1,8,13,7
ASV_183,1,0,5,150,183,71,7,55,9,7,7,9,227,141,106,63,68,74,463,365,332,0,0,0,0,3,2,57,61,84,2,1,0,23,3,2,3,2,2,6,2,12,2,9,2,283,364,233,48,48,35,17,5,134,2,2,2,0,0,0,3,4,8,14,17,20,3,5,4,0,5,0,40,117,243,6,17,2,2,0,3,1,1,5,2,4,0,2,0,4,986,1021,973,110,205,238,41,223,134,5,17,11,177,265,228,1,2,0,2,4,0,0,0,0,58,82,61,283,361,304,251,219,183,14,13,14,256,266,204,43,86,70,128,130,169,0,0,0,0,2,0,6,8,2,35,62,56,848,844,878,0,0,265,244,310,1,11,4,85,66,69,33,156,59,5,125,121,0,0,0,0,0,0,0,0,0,1452,2,1,1,4,2,4,12,15,29,14,19,75,142,40,5,20,2,2,1,0,0,0,1,0,6,3,2,0,5,3,0,0,189,155,116,104,114,132,64,26,82,153,127,361,12,3,2,18,23,24,4,36,56,4,1,0,2,2,5,8,33,20,81,327,383,0,0,121,175,141,38,22,33,207,290,253,68,47,89,189,209,124,0,0,0,7,9,0,0,1,0,5,2,7,16,44,62,86,108,124,0,0,86,72,62,1,1,4,217,257,159,11,23,17,2,14,6,0,0,0,0,8,0,2,1,0,0,0,0,5,7,11,105,90,98,0,0,15,8,11,1,11,1,6,10,6,8,18,7,0,0,0,0,0,1,2,0,0,48,23,26,2,0,0,38,74,180,208,168,189,0,0,82,140,83,43,123,119,3,8,15,2,4,1,0,0,0,0,5,3,78,65,18,1,1,0,1550,1186,1654,718,501,641,397,424,389,25,9,22,199,319,303,103,15,65,36,13,8,0,0,0,0,0,0,16,11,32,3,4,0,2253,1493,1183,8,10,0,4,6,4,19,37,19,173,231,150,5,12,9,0,1,0,2,0,0,0,0,0,61,80,57,3,5,1,34,36,27,8,34,29,69,92,107,9,19,8,3,8,10,6,4,16,2,0,1,5,11,5
ASV_216,0,0,11,125,144,72,12,29,4,6,1,1,175,93,95,52,64,82,410,295,297,0,0,2,0,3,0,31,51,48,2,1,0,17,3,3,0,2,4,0,6,8,4,4,1,215,285,260,38,51,19,8,4,127,1,0,0,0,2,0,2,1,7,10,18,23,2,2,6,1,12,0,69,137,222,5,8,4,0,0,5,0,1,3,0,2,0,2,0,4,786,937,865,91,174,214,36,123,104,7,15,15,154,220,176,1,4,2,0,0,3,6,0,0,52,79,58,227,297,247,214,225,164,8,7,7,198,208,179,22,66,64,131,134,163,0,0,0,0,1,0,4,5,1,23,48,67,845,689,705,78,155,191,182,210,1,16,2,58,72,62,26,135,34,4,141,123,3,0,0,0,0,0,0,0,0,1294,1,1,0,9,5,1,9,12,28,22,16,66,103,33,8,9,1,0,3,0,4,1,0,1,9,5,4,113,3,1,0,0,166,99,88,96,111,100,38,21,67,95,101,287,5,5,1,9,22,19,3,34,58,1,0,0,5,2,1,15,26,13,120,242,300,6,3,76,127,103,48,13,46,181,218,151,35,61,84,131,202,118,0,0,0,2,8,0,0,0,2,4,1,3,11,26,50,45,119,88,59,103,48,67,66,0,5,5,152,241,198,3,15,6,3,7,5,1,0,0,1,7,0,1,2,0,0,0,3,5,9,6,56,85,59,5,43,18,22,6,0,8,1,7,4,11,9,16,5,0,0,1,0,1,3,0,0,1,33,15,13,1,1,1,43,49,167,161,159,220,30,28,75,143,55,54,104,89,1,7,9,0,2,3,0,2,3,0,1,8,55,40,18,0,0,0,1417,1101,1323,532,626,581,461,340,402,15,5,17,170,261,239,130,14,46,34,18,21,2,1,0,0,0,0,13,13,20,3,0,1,1983,1357,1014,3,5,6,2,12,2,8,25,18,222,177,117,4,8,18,0,1,0,2,0,0,0,0,0,52,65,40,0,3,8,32,19,21,15,34,32,83,101,81,7,12,13,2,7,8,3,7,15,0,0,0,5,7,16
ASV_227,3,4,6,106,58,79,14,29,13,6,2,3,80,123,107,66,78,63,377,398,323,0,3,0,2,5,0,52,62,15,1,0,0,27,6,1,5,3,0,1,7,10,6,10,0,264,270,263,30,48,27,19,7,109,0,1,2,0,2,0,0,3,1,7,15,24,3,1,4,0,2,2,34,88,229,3,4,6,1,3,2,0,1,3,1,5,1,1,1,3,853,858,857,94,146,220,22,206,104,8,25,17,145,216,183,2,2,1,0,1,0,2,0,0,65,75,36,286,249,230,206,166,131,11,13,14,185,236,191,26,60,70,115,113,106,0,0,1,0,1,0,13,9,0,36,25,51,829,848,574,50,79,269,317,258,3,8,6,54,61,55,38,98,43,7,105,114,1,0,0,1,0,0,0,0,0,1031,11,1,1,7,2,1,8,15,38,16,22,69,118,42,4,23,13,2,3,0,1,0,0,1,3,1,5,124,6,3,0,0,189,160,101,103,124,105,52,20,108,138,95,120,14,7,3,9,28,12,3,22,46,4,3,0,1,2,2,9,21,21,87,279,296,2,3,77,150,25,26,6,48,194,258,191,71,60,95,113,176,117,0,0,0,8,14,0,1,0,0,1,3,1,22,17,65,78,109,117,64,105,91,39,47,3,7,4,204,258,159,12,25,10,0,8,2,0,0,0,0,5,0,0,3,1,3,0,0,3,5,9,63,59,67,6,55,20,8,14,3,3,1,6,5,8,8,24,9,0,3,0,0,2,0,1,0,1,32,10,22,0,0,0,41,83,149,157,213,224,14,34,66,126,41,72,118,91,6,4,12,0,3,1,0,0,1,1,0,1,93,53,18,0,1,1,1519,1106,1311,530,622,435,396,304,255,24,12,20,250,245,237,90,14,68,5,14,6,0,0,0,0,1,0,14,14,41,1,2,0,1234,1478,1038,4,7,3,5,5,7,11,22,26,230,171,126,4,16,8,0,0,1,0,0,1,0,0,0,34,42,56,2,8,0,23,26,18,13,27,31,67,100,103,5,7,15,3,5,9,4,7,15,1,1,0,8,14,6
ASV_279,1,1,5,0,2,0,97,28,24,2424,635,908,2,1,2,1,0,1,9,32,26,0,2,2,1,12,1,8,2,1,552,603,458,1,0,0,0,0,0,2,1,1,2,0,0,0,3,3,2,1,1,545,546,91,1,2,0,5,10,0,0,0,0,4,0,0,1,1,1,0,2,0,0,2,3,12,6,0,0,0,1,3,8,2,1,2,2,14,6,1,3,2,3,3,0,2,2,3,0,0,0,2,0,0,0,3,1,2,7,3,4,0,4,5,0,0,0,0,2,1,11,10,9,2,1,2,1,1,0,0,1,0,3,339,41,5,16,83,156,10,143,38,29,58,0,0,1,7,6,5,0,0,2,1,2,0,0,0,0,1,0,0,1,1,0,7,2,13,14,10,0,1,3,2,3,0,10,0,2,1,2,2,2,0,1,1,0,1,1,2,0,2,0,0,0,1,1,3,2,6,1,1,36,3,0,4,11,11,10,11,4,0,0,4,3,0,4,0,0,3,7,0,1,0,1,1,0,1,3,2,5,1,2,1,4,12,1,0,0,1,1,0,0,0,4,38,3,1,2,1,3,1,3,510,1,3,5,1,4,0,4,0,2,2,4,5,8,5,10,21,13,2,3,1,17,19,7,0,0,2,1,0,2,0,0,2,1,0,0,0,4,0,235,1,16,13,11,56,10,4,47,31,4,93,125,113,7,4,5,1,4,2,0,0,5,3,0,0,1,0,0,1,0,260,3151,1838,273,546,416,2449,3060,4695,55,121,13,65,2072,2274,18,12,23,1,0,0,0,0,1,0,0,10,13,12,0,0,3,0,3,1,0,0,0,11,34,59,5,1,1,6,3,0,240,420,341,5,3,2,25,47,27,10,6,10,0,4,0,2,1,0,2,1,0,7,3,0,2,7,4,1,5,3,2,7,0,138,101,146,0,4,2,2,0,0,0,0,1,0,1,0,0,1,1,0,1,1,2,1,2,2,1,1,1,4,6,0,3,62,97,165,155,3,1,0,165,28,15,512,196,142,0,0,1,7,1,2,0,1,1,1,5,51,4,2,0
ASV_320,0,62,10,4,1,2,8,3,4,2,40,1,34,11,160,1,0,0,3,7,7,2,3,7,44,289,36,182,144,54,0,1,0,4,0,0,0,0,1,3,2,45,1149,210,10,4,1,1,2,1,0,3,7,12,514,571,493,5,269,7,0,2,0,11,10,6,1,0,1,2,2,2,1,5,4,8,5,1,0,1,0,2,6,7,0,9,8,1,2,16,68,15,514,4,27,19,1213,23,712,4,14,3,4,7,1,2,2,0,8,8,8,1,3,1,3,5,6,5,44,4,31,27,98,99,202,48,3,4,1,2,1,2,0,0,2,2,3,3,49,64,60,13,6,1,0,12,2,3,7,11,0,0,57,160,61,7,77,132,0,0,1,3,1,0,1,2,1,1,2,5,1,2,2,1,4,0,45,0,1,3,2,2,510,383,370,274,217,111,0,1,2,4,0,1,0,0,0,2,4,2,57,0,0,388,0,487,5,0,2,419,319,445,6,6,2,58,68,37,53,436,106,2,0,0,2,1,4,0,4,2,741,610,263,1,3,7,2,11,4,3,3,8,0,0,100,135,18,17,10,23,3,1,2,4,1,0,2,1,2,4,7,1,269,395,31,0,0,3,1,1,2,1,71,2,5,9,9,0,0,177,178,202,83,49,239,1,0,1,1,1,0,1,2,0,0,0,2,1,3,4,2,0,1,2,1,0,3,1,9,1,1,2,0,0,3,19,3,1,3,3,2,2,1,0,0,1,2,1,2,0,0,2,19,16,35,14,2,1,4,14,2,0,2,2,7,11,13,0,0,124,160,322,239,165,660,0,0,0,1,1,0,0,8,1,32,364,1131,503,405,363,1,10,3,27,38,38,4,2,13,9,8,7,32,150,11,2,1,3,6,0,0,1,1,2,2,2,2,5,8,4,46,43,47,4,2,2,28,51,32,1,0,0,111,59,606,75,165,76,2,4,0,0,0,1,0,0,1,1,2,0,1,3,1,224,214,126,0,0,0,3,3,6,4,5,2,6,12,3,0,2,1,0,1,0,0,0,2,5,2,2,74,105,100
ASV_334,0,35,5,2,3,3,4,4,0,5,24,3,109,15,146,3,2,1,1,2,5,0,4,8,40,311,22,119,109,83,0,0,0,3,1,0,1,1,1,0,6,20,1102,154,20,3,0,3,0,1,1,1,1,3,391,519,470,7,297,7,0,0,3,5,2,1,2,2,1,0,0,3,0,2,1,9,2,1,1,0,1,1,4,5,6,17,5,5,5,10,60,11,495,10,18,16,1289,21,646,2,15,3,4,14,1,0,0,1,2,13,3,0,0,0,7,1,7,4,27,3,19,32,62,50,285,77,2,0,1,1,0,1,2,3,2,2,1,0,48,47,61,5,7,4,3,13,4,2,8,9,0,0,53,117,49,3,49,115,3,1,1,0,1,2,2,1,1,0,1,1,1,2,1,0,2,0,44,0,2,0,1,2,445,342,411,233,196,141,0,0,0,0,0,2,1,2,0,5,10,1,35,0,2,392,0,396,4,0,0,331,239,340,3,5,1,45,54,34,47,453,392,0,0,2,0,1,2,0,2,0,612,550,236,1,0,9,2,11,1,9,5,4,0,0,85,117,20,24,36,15,0,3,2,0,0,0,1,1,2,2,4,0,282,343,38,1,1,1,1,3,2,3,69,5,4,10,6,0,3,146,105,202,82,71,209,2,0,2,1,2,0,3,1,0,0,0,0,0,4,3,1,1,1,2,1,1,5,0,4,1,8,2,0,0,8,16,8,3,1,4,0,0,0,0,4,1,1,0,1,0,2,2,15,15,14,7,4,2,2,8,0,1,0,0,7,2,8,0,0,121,166,321,236,137,534,0,0,0,3,1,0,3,4,1,12,318,852,356,329,368,4,5,3,32,36,32,8,2,2,10,5,4,31,117,15,2,1,1,2,1,0,2,2,5,1,0,0,3,5,3,42,40,51,3,1,4,41,23,24,1,1,1,100,53,633,73,149,57,2,1,0,0,1,1,0,0,2,1,0,1,0,0,1,207,180,124,2,1,2,0,4,3,5,7,6,3,14,4,4,5,2,0,0,0,0,1,0,3,3,2,61,74,93
ASV_337,2,36,3,2,0,2,1,2,2,5,34,2,36,10,149,1,0,0,1,5,11,0,2,1,27,205,19,164,120,19,0,1,3,9,1,1,0,0,2,0,7,30,1020,227,7,13,0,0,5,5,2,1,9,15,573,499,436,4,302,7,0,1,0,7,1,7,2,2,4,0,0,0,2,3,2,5,3,0,0,0,0,8,1,8,6,13,2,1,8,9,63,13,424,10,14,16,1255,17,642,2,14,7,2,8,0,1,0,1,6,15,8,1,0,1,6,4,2,8,9,7,30,27,95,73,169,52,1,4,1,0,2,0,1,1,0,2,1,0,63,51,67,18,4,4,1,14,5,4,6,7,0,0,72,176,69,6,44,116,1,1,1,3,0,2,1,1,1,0,1,0,0,0,1,0,0,1,38,1,2,1,2,0,431,410,287,323,196,105,1,1,1,2,1,0,0,0,2,4,2,2,55,2,0,337,0,480,4,0,0,369,353,355,3,7,3,51,71,38,47,330,100,3,0,2,1,1,2,1,8,0,700,712,275,3,4,4,6,11,10,4,6,8,0,0,84,133,9,23,17,13,1,3,0,0,1,0,1,2,1,0,2,0,354,439,49,1,4,0,4,1,3,0,59,2,2,6,9,2,1,204,131,186,84,55,206,3,6,1,1,1,3,1,0,0,0,1,0,2,5,0,3,2,1,0,1,1,3,5,7,1,3,0,0,0,9,18,5,1,3,3,0,0,0,0,0,0,0,1,0,0,2,2,19,17,22,6,3,2,1,16,1,0,3,3,7,6,4,0,1,110,155,298,252,168,651,1,0,0,1,0,0,3,11,0,44,395,1148,550,458,259,0,1,4,33,42,32,3,0,8,11,3,3,45,130,14,2,3,0,1,3,0,1,1,3,0,6,0,9,8,14,53,35,68,2,3,3,20,31,39,1,1,1,79,52,516,76,164,89,0,1,1,0,1,0,0,0,4,4,1,0,2,1,2,216,243,155,0,0,0,1,3,2,3,5,4,5,17,5,1,5,0,1,0,1,0,0,0,6,2,4,76,81,87
