sampleID	tetracycline	vancomycin	benzalkoniumchloride	trimethoprim	chloramphenicol	teicoplanin	fosfomycin	para-aminosalicylicacid	cloxacillin	oxacillin	cefalotin	rifampin	rifaximin	ampicillin	rifapentine	spectinomycin	streptomycin	rifabutin	erythromycin	ciprofloxacin	doxycycline	triclosan	colistinA	colistinB	tigecycline	norfloxacin	cefotaxime	acriflavine	cefditoren	cefaclor	cefepime	demeclocycline	nalidixicacid	cefdinir	azithromycin	ceftazidime	gatifloxacin	gentamicin	ceftriaxone	novobiocin	minocycline	chlorhexidine	metronidazole	linezolid	thiamphenicol	azidamfenicol	ertapenem	grepafloxacin	imipenem	levofloxacin	lomefloxacin	moxifloxacin	ofloxacin	pefloxacin	piperacillin	polymyxinB5	sparfloxacin	ticarcillin	tobramycin	trovafloxacin	enoxacin	nitrofurantoin	puromycin	dibekacin	kanamycinA	mafenide	sisomicin	sulfacetamide	sulfadiazine	sulfadimidine	sulfadoxine	sulfamethizole	sulfasalazine	sulfamethoxazole	sulfisoxazole
SgBJN3YM1	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SgBJN3YM3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SgBJN3YM6	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SgBJN3YM7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SgBJN3YM9	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SgBJN5Y4M3	0	0	0	1	1	0	0	0	1	1	0	0	0	1	0	1	1	1	2	2	0	0	0	0	0	3	1	0	1	1	0	0	1	1	0	1	1	2	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SgBJN5Y4M8	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SgBJN6YM4	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SgBJN6YM5	2	0	0	0	0	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SgBJN6YM7	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
