sampleID	SgBJN3YM1	SgBJN3YM3	SgBJN3YM6	SgBJN3YM7	SgBJN3YM9	SgBJN5Y4M3	SgBJN5Y4M8	SgBJN6YM4	SgBJN6YM5	SgBJN6YM7	SgBJN8YM1	SgBJN8YM2	SgBJN11YM2	SgBJN12YM2	SgHDHZ2YM2	SgHDHZ2YM3	SgHDHZ3YM5	SgHDHZ3YM9	SgHDHZ3YM10	SgHDHZ3YM13	SgHDHZ4YM4	SgHDHZ5YM1	SgHDHZ5YM2	SgHDHZ6YM2	SgHDHZ7YM1	SgHDHZ7YM3	SgHDHZ9YM2	SgHDHZ12YM3	SgMonth11	SgMonth13	SgMonth19	SgMonth116	SgMonth117	SgMonth119	SgMonth26	SgMonth28	SgMonth29	SgMonth212	SgMonth216	SgMonth34	SgMonth35	SgMonth310	SgMonth311	SgMonth313	SgMonth315	SgMonth319	SgMonth42	SgMonth45	SgMonth48	SgMonth49	SgMonth416	SgMonth53	SgMonth56	SgMonth58	SgMonth59	SgMonth510	SgMonth511	SgMonth515	SgMonth517	SgMonth519	SgMonth521	SgMonth525	SgMonth526	SgMonth65	SgMonth66	SgMonth68	SgMonth610	SgMonth613	SgMonth614	SgMonth76	SgMonth79	SgMonth81	SgMonth83	SgMonth814	SgMonth91	SgMonth92	SgMonth94	SgMonth98	SgMonth99	SgMonth103	SgMonth1012	SgMonth1017	SgMonth111	SgMonth112	SgMonth113	SgMonth118	SgMonth1110	SgMonth1112	SgMonth1114	SgMonth121	SgMonth122	SgMonth1210	SgMonth1211	SgYFZ7YM2	SgYFZ7YM6	SgYFZ9YM2	SgYFZ9YM3
tetracycline	3	1	6	0	3	0	1	3	2	2	2	2	0	3	3	0	0	2	0	0	1	7	4	2	3	3	1	2	0	0	2	2	2	1	3	1	1	0	1	0	2	2	1	1	0	6	2	4	3	3	0	0	3	0	1	0	0	1	2	2	2	1	4	2	2	2	1	1	2	1	3	2	1	1	3	3	0	2	1	1	1	1	1	0	0	0	0	1	2	2	3	1	1	0	2	0	1
vancomycin	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	1	0	0	2	1	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	2	0	0	3	0	0	0	1	1	0	1	0	1	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	2	3	3	1	0	0	0	0	0	0	0	0	0	0
benzalkoniumchloride	0	0	1	0	0	0	1	2	0	1	1	1	0	0	1	0	1	1	0	0	0	2	0	1	1	1	0	2	0	0	1	0	1	1	1	0	0	0	1	0	0	1	1	1	0	0	1	1	1	0	0	1	1	0	1	1	0	2	1	1	0	0	1	0	0	2	0	0	1	0	0	1	0	1	1	2	0	2	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	1	1	0	1
trimethoprim	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	2	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	1	1	1
chloramphenicol	1	0	0	0	0	1	0	0	0	0	1	1	1	0	1	0	0	1	0	0	0	3	1	1	1	1	2	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	1	0	1	1	1	1
teicoplanin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	3	1	0	0	0	0	0	0	0	0	0	0
fosfomycin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
para-aminosalicylicacid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cloxacillin	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
oxacillin	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
