ORF_ID	AMR_Gene_Family	Antibiotic
k141_102309_15	glycopeptide resistance gene cluster; Van ligase	vancomycin
k141_102309_15	glycopeptide resistance gene cluster; Van ligase	vancomycin
k141_102309_15	glycopeptide resistance gene cluster; Van ligase	vancomycin
k141_10261_81	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k141_10261_81	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k141_10261_81	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k141_103199_1	resistance-nodulation-cell division (RND) antibiotic efflux pump	trimethoprim; chloramphenicol
k141_103199_1	resistance-nodulation-cell division (RND) antibiotic efflux pump	trimethoprim; chloramphenicol
k141_103199_1	resistance-nodulation-cell division (RND) antibiotic efflux pump	trimethoprim; chloramphenicol
k141_10600_3	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k141_10600_3	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k141_10600_3	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k141_106402_183	antibiotic-resistant GlpT	fosfomycin
k141_106402_183	antibiotic-resistant GlpT	fosfomycin
k141_106402_183	antibiotic-resistant GlpT	fosfomycin
k141_106402_278	glycopeptide resistance gene cluster; Van ligase	vancomycin
k141_106402_278	glycopeptide resistance gene cluster; Van ligase	vancomycin
k141_106402_278	glycopeptide resistance gene cluster; Van ligase	vancomycin
k141_110728_65	resistance-nodulation-cell division (RND) antibiotic efflux pump	novobiocin
k141_110728_65	resistance-nodulation-cell division (RND) antibiotic efflux pump	novobiocin
k141_110728_65	resistance-nodulation-cell division (RND) antibiotic efflux pump	novobiocin
k141_11449_23	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride
k141_11449_23	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride
k141_11449_23	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride
k141_11623_45	OXA beta-lactamase	cloxacillin; oxacillin; cefalotin
k141_11623_45	OXA beta-lactamase	cloxacillin; oxacillin; cefalotin
k141_11623_45	OXA beta-lactamase	cloxacillin; oxacillin; cefalotin
k141_119837_186	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k141_119837_186	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k141_119837_186	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k141_12180_4	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k141_12180_4	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k141_12180_4	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k141_12395_59	major facilitator superfamily (MFS) antibiotic efflux pump	nalidixic acid
k141_12395_59	major facilitator superfamily (MFS) antibiotic efflux pump	nalidixic acid
k141_12395_59	major facilitator superfamily (MFS) antibiotic efflux pump	nalidixic acid
k141_12395_61	major facilitator superfamily (MFS) antibiotic efflux pump	nalidixic acid
k141_12395_61	major facilitator superfamily (MFS) antibiotic efflux pump	nalidixic acid
k141_12395_61	major facilitator superfamily (MFS) antibiotic efflux pump	nalidixic acid
k141_126125_203	vanY; glycopeptide resistance gene cluster	vancomycin
k141_126125_203	vanY; glycopeptide resistance gene cluster	vancomycin
k141_126125_203	vanY; glycopeptide resistance gene cluster	vancomycin
k141_12937_24	macrolide phosphotransferase (MPH)	erythromycin
k141_12937_24	macrolide phosphotransferase (MPH)	erythromycin
k141_12937_24	macrolide phosphotransferase (MPH)	erythromycin
k141_12937_25	msr-type ABC-F protein	erythromycin
k141_12937_25	msr-type ABC-F protein	erythromycin
k141_12937_25	msr-type ABC-F protein	erythromycin
k141_140619_7	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride
k141_140619_7	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride
k141_140619_7	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride
k141_14746_62	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k141_14746_62	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k141_14746_62	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k141_160353_2	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k141_160353_2	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k141_160353_2	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k141_16111_2	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride
k141_16111_2	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride
k141_16111_2	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride
k141_16418_175	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride
k141_16418_175	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride
k141_16418_175	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride
k141_171487_136	chloramphenicol acetyltransferase (CAT)	chloramphenicol
k141_171487_136	chloramphenicol acetyltransferase (CAT)	chloramphenicol
k141_171487_136	chloramphenicol acetyltransferase (CAT)	chloramphenicol
k141_172531_31	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k141_172531_31	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k141_172531_31	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k141_17571_84	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride
k141_17571_84	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride
k141_17571_84	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride
k141_178391_104	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride
k141_178391_104	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride
k141_178391_104	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride
k141_18039_126	resistance-nodulation-cell division (RND) antibiotic efflux pump	trimethoprim; chloramphenicol
